/var/spool/slurmd/job54800/slurm_script: línea 11: /fhome/pmlai01/miniconda3/etc/profile.d/cuonda.sh: No existe el archivo o el directorio

CondaError: Run 'conda init' before 'conda activate'

2024-12-12 10:04:40.719540: I tensorflow/tsl/cuda/cudart_stub.cc:28] Could not find cuda drivers on your machine, GPU will not be used.
2024-12-12 10:04:40.781920: I tensorflow/core/platform/cpu_feature_guard.cc:182] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
2024-12-12 10:04:41.849325: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:38] TF-TRT Warning: Could not find TensorRT
A.L.E: Arcade Learning Environment (version 0.10.1+unknown)
[Powered by Stella]
cuda
Using cuda device
Wrapping the env in a VecTransposeImage.
---------------------------------
| rollout/           |          |
|    approx_kl            | 0.021536916 |
|    clip_fraction        | 0.163       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.592      |
|    explained_variance   | 0.375       |
|    learning_rate        | 3.45e-05    |
|    loss                 | 0.453       |
|    n_updates            | 1890        |
|    policy_gradient_loss | -0.0142     |
|    value_loss           | 1.65        |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 3.81e+03   |
|    ep_rew_mean          | 2.13e+03   |
| time/                   |            |
|    fps                  | 194        |
|    iterations           | 191        |
|    time_elapsed         | 8040       |
|    total_timesteps      | 1564672    |
| train/                  |            |
|    approx_kl            | 0.02029388 |
|    clip_fraction        | 0.174      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.622     |
|    explained_variance   | 0.433      |
|    learning_rate        | 3.44e-05   |
|    loss                 | 0.71       |
|    n_updates            | 1900       |
|    policy_gradient_loss | -0.0129    |
|    value_loss           | 1.42       |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.9e+03     |
|    ep_rew_mean          | 2.18e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 192         |
|    time_elapsed         | 8081        |
|    total_timesteps      | 1572864     |
| train/                  |             |
|    approx_kl            | 0.021457797 |
|    clip_fraction        | 0.174       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.599      |
|    explained_variance   | 0.384       |
|    learning_rate        | 3.44e-05    |
|    loss                 | 0.44        |
|    n_updates            | 1910        |
|    policy_gradient_loss | -0.0123     |
|    value_loss           | 1.5         |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.96e+03    |
|    ep_rew_mean          | 2.22e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 193         |
|    time_elapsed         | 8122        |
|    total_timesteps      | 1581056     |
| train/                  |             |
|    approx_kl            | 0.017369164 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.637      |
|    explained_variance   | 0.523       |
|    learning_rate        | 3.43e-05    |
|    loss                 | 0.262       |
|    n_updates            | 1920        |
|    policy_gradient_loss | -0.0146     |
|    value_loss           | 1.18        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.97e+03    |
|    ep_rew_mean          | 2.21e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 194         |
|    time_elapsed         | 8162        |
|    total_timesteps      | 1589248     |
| train/                  |             |
|    approx_kl            | 0.018615767 |
|    clip_fraction        | 0.16        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.614      |
|    explained_variance   | 0.5         |
|    learning_rate        | 3.42e-05    |
|    loss                 | 0.23        |
|    n_updates            | 1930        |
|    policy_gradient_loss | -0.0154     |
|    value_loss           | 1.26        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.9e+03     |
|    ep_rew_mean          | 2.16e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 195         |
|    time_elapsed         | 8203        |
|    total_timesteps      | 1597440     |
| train/                  |             |
|    approx_kl            | 0.019448942 |
|    clip_fraction        | 0.158       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.631      |
|    explained_variance   | 0.546       |
|    learning_rate        | 3.41e-05    |
|    loss                 | 0.31        |
|    n_updates            | 1940        |
|    policy_gradient_loss | -0.0167     |
|    value_loss           | 1.13        |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 3.74e+03    |
|    ep_rew_mean          | 2.06e+03    |
| time/                   |             |
|    fps                  | 194         |
|    iterations           | 196         |
|    time_elapsed         | 8244        |
|    total_timesteps      | 1605632     |
| train/                  |             |
|    approx_kl            | 0.021730144 |
|    clip_fraction        | 0.173       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.64       |
|    explained_variance   | 0.386       |
|    learning_rate        | 3.4e-05     |
|    loss                 | 0.513       |
|    n_updates            | 1950        |
|    policy_gradient_loss | -0.0154     |
|    value_loss           | 1.81        |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 3.65e+03  |
|    ep_rew_mean          | 2.01e+03  |
| time/                   |           |
|    fps                  | 194       |
|    iterations           | 197       |
|    time_elapsed         | 8286      |
|    total_timesteps      | 1613824   |
| train/                  |           |
|    approx_kl            | 0.0186894 |
|    clip_fraction        | 0.168     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.639    |
|    explained_variance   | 0.397     |
|    learning_rate        | 3.39e-05  |
|    loss                 | 0.247     |
|    n_updates            | 1960      |
|    policy_gradient_loss | -0.0174   |
|    value_loss           | 1.21      |
---------------------------------------
-----------------------------------------
| rollout/                |             |
